date,a.rate,a.ci_bottom,a.ci_top,b.rate,b.ci_bottom,b.ci_top
2016-04-14,0.314,0.236,0.393,0.281,0.211,0.351
2016-04-15,0.195,0.146,0.244,0.136,0.102,0.170
2016-04-17,0.263,0.197,0.329,0.382,0.287,0.478
2016-04-20,0.200,0.150,0.250,0.177,0.133,0.222
2016-04-21,0.216,0.162,0.270,0.288,0.216,0.360
2016-04-22,0.268,0.201,0.335,0.283,0.212,0.354
2016-04-23,0.233,0.175,0.292,0.330,0.248,0.413
2016-04-24,0.177,0.133,0.221,0.316,0.237,0.395
2016-04-25,0.161,0.121,0.202,0.105,0.079,0.131
2016-04-28,0.256,0.192,0.320,0.252,0.189,0.315
2016-04-29,0.248,0.186,0.310,0.120,0.090,0.150
2016-05-01,0.297,0.223,0.372,0.228,0.171,0.285
2016-05-02,0.093,0.070,0.117,0.115,0.086,0.143
2016-05-04,0.153,0.115,0.191,0.275,0.206,0.344
2016-05-05,0.138,0.103,0.172,0.053,0.039,0.066
2016-05-06,0.179,0.134,0.224,0.218,0.164,0.273
2016-05-07,0.118,0.089,0.148,0.163,0.123,0.204
2016-05-09,0.307,0.230,0.383,0.284,0.213,0.355
2016-05-12,0.185,0.138,0.231,0.318,0.239,0.398
2016-05-13,0.118,0.088,0.147,0.189,0.142,0.236
2016-05-14,0.144,0.108,0.180,0.144,0.108,0.180
2016-05-15,0.208,0.156,0.260,0.169,0.127,0.211
2016-05-16,0.216,0.162,0.270,0.269,0.201,0.336
2016-05-18,0.241,0.181,0.301,0.243,0.182,0.304
2016-05-19,0.117,0.088,0.146,0.072,0.054,0.090
2016-05-20,0.231,0.173,0.289,0.186,0.139,0.232
2016-05-21,0.114,0.085,0.142,0.276,0.207,0.344
2016-05-23,0.257,0.193,0.321,0.296,0.222,0.370
2016-05-24,0.313,0.235,0.391,0.261,0.195,0.326
2016-05-27,0.119,0.089,0.149,0.279,0.209,0.348
2016-05-28,0.206,0.154,0.257,0.259,0.194,0.324
2016-05-29,0.219,0.164,0.273,0.195,0.147,0.244
2016-05-30,0.099,0.074,0.124,0.156,0.117,0.194
2016-06-03,0.169,0.127,0.211,0.101,0.076,0.126
2016-06-08,0.092,0.069,0.115,0.116,0.087,0.145
2016-06-09,0.217,0.163,0.271,0.213,0.160,0.266
2016-06-10,0.083,0.062,0.103,0.151,0.113,0.189
2016-06-11,0.159,0.119,0.199,0.271,0.203,0.339
